index,c,v,t,query
618,42,3,"My tears have been my meat day and night, while they continually say unto me, Where is thy God?",How can sorrow consume a person throughout the day?
620,42,5,"Why art thou cast down, O my soul? and why art thou disquieted in me? hope thou in God: for I shall yet praise him for the help of his countenance.",Why might someone question their own sadness and seek comfort?
622,42,7,Deep calleth unto deep at the noise of thy waterspouts: all thy waves and thy billows are gone over me.,How can overwhelming emotions feel like being overcome by nature?
624,42,9,"I will say unto God my rock, Why hast thou forgotten me? why go I mourning because of the oppression of the enemy?",What could make someone feel abandoned in times of oppression?
625,42,10,"As with a sword in my bones, mine enemies reproach me; while they say daily unto me, Where is thy God?",How does constant ridicule from enemies affect a person?
627,43,1,"Judge me, O God, and plead my cause against an ungodly nation: O deliver me from the deceitful and unjust man.",What might someone ask when facing injustice from others?
629,43,3,"O send out thy light and thy truth: let them lead me; let them bring me unto thy holy hill, and to thy tabernacles.",How can light and truth guide someone to where they need to be?
632,44,1,"We have heard with our ears, O God, our fathers have told us, what work thou didst in their days, in the times of old.",What can we learn from stories passed down through generations?
634,44,3,"For they got not the land in possession by their own sword, neither did their own arm save them: but thy right hand, and thine arm, and the light of thy countenance, because thou hadst a favour unto them.",What historical events show people being driven from their lands?
637,44,6,"For I will not trust in my bow, neither shall my sword save me.",How can people win battles without relying on their own strength?
641,44,10,Thou makest us to turn back from the enemy: and they which hate us spoil for themselves.,How does it feel when efforts lead to defeat instead of victory?
642,44,11,Thou hast given us like sheep appointed for meat; and hast scattered us among the heathen.,What does it feel like to be scattered among unfamiliar people?
644,44,13,"Thou makest us a reproach to our neighbours, a scorn and a derision to them that are round about us.",How does it feel to be ridiculed by neighboring countries?
648,44,17,"All this is come upon us; yet have we not forgotten thee, neither have we dealt falsely in thy covenant.",What might cause someone to feel constant shame and confusion?
655,44,24,"Wherefore hidest thou thy face, and forgettest our affliction and our oppression?",Why would someone cry out for help when they feel completely broken?
658,45,1,My heart is inditing a good matter: I speak of the things which I have made touching the king: my tongue is the pen of a ready writer.,How might a person feel inspired to share their thoughts about someone in power?
660,45,3,"Gird thy sword upon thy thigh, O most mighty, with thy glory and thy majesty.",What qualities define a strong and majestic leader?
662,45,5,Thine arrows are sharp in the heart of the king's enemies; whereby the people fall under thee.,How can a sharp weapon symbolize strength in a leader’s hands?
664,45,7,"Thou lovest righteousness, and hatest wickedness: therefore God, thy God, hath anointed thee with the oil of gladness above thy fellows.",What does it mean for someone to value righteousness and hate wickedness?
670,45,13,The king's daughter is all glorious within: her clothing is of wrought gold.,How might someone experience joy as they approach a grand and joyful event?
675,46,1,"God is our refuge and strength, a very present help in trouble.",What does it mean to find strength and security in times of trouble?
676,46,2,"Therefore will not we fear, though the earth be removed, and though the mountains be carried into the midst of the sea;",How can we remain calm when facing massive upheavals in life?
680,46,6,"The heathen raged, the kingdoms were moved: he uttered his voice, the earth melted.",What kind of peace can people find when surrounded by chaos?
683,46,9,"He maketh wars to cease unto the end of the earth; he breaketh the bow, and cutteth the spear in sunder; he burneth the chariot in the fire.",How can we understand the impact of wars coming to an end?
684,46,10,"Be still, and know that I am God: I will be exalted among the heathen, I will be exalted in the earth.",What might it mean to simply stop and reflect in moments of crisis?
686,47,1,"O clap your hands, all ye people; shout unto God with the voice of triumph.",How can people express collective joy and triumph?
690,47,5,"God is gone up with a shout, the LORD with the sound of a trumpet.",How can music and praise bring people together in celebration?
692,47,7,For God is the King of all the earth: sing ye praises with understanding.,What does it mean for a higher power to reign over nations?
695,48,1,"Great is the LORD, and greatly to be praised in the city of our God, in the mountain of his holiness.",Why is the city of God considered a place of beauty and significance?
698,48,4,"For, lo, the kings were assembled, they passed by together.",What causes people to marvel and retreat when faced with something powerful?
700,48,6,"Fear took hold upon them there, and pain, as of a woman in travail.",What metaphor describes the intense pain or fear someone is feeling?
701,48,7,Thou breakest the ships of Tarshish with an east wind.,What natural force caused the destruction of the ships of Tarshish?
706,48,12,"Walk about Zion, and go round about her: tell the towers thereof.",Why should the daughters of Judah rejoice?
707,48,13,"Mark ye well her bulwarks, consider her palaces; that ye may tell it to the generation following.",What activity is recommended to reflect on the strength and beauty of Zion?
711,49,3,My mouth shall speak of wisdom; and the meditation of my heart shall be of understanding.,Why is it pointless to fear during difficult times?
718,49,10,"For he seeth that wise men die, likewise the fool and the brutish person perish, and leave their wealth to others.",What is the folly of those who believe their wealth and homes will last forever?
724,49,16,"Be not thou afraid when one is made rich, when the glory of his house is increased;",What is a person compared to when they do not understand their own mortality?
725,49,17,For when he dieth he shall carry nothing away: his glory shall not descend after him.,What happens to a person's wealth and glory after they die?
728,49,20,"Man that is in honour, and understandeth not, is like the beasts that perish.",How is a person who has honor but no understanding compared to a beast?
738,50,10,"For every beast of the forest is mine, and the cattle upon a thousand hills.",Who owns the cattle on a thousand hills and all the wild beasts?
740,50,12,"If I were hungry, I would not tell thee: for the world is mine, and the fulness thereof.","If someone were hungry, why would they not need to ask for food?"
742,50,14,Offer unto God thanksgiving; and pay thy vows unto the most High:,What is the appropriate offering to give in times of trouble?
747,50,19,"Thou givest thy mouth to evil, and thy tongue frameth deceit.",What leads to salvation for those who live correctly?
772,52,2,"The tongue deviseth mischiefs; like a sharp razor, working deceitfully.",How does the tongue of someone who loves evil behave?
777,52,7,"Lo, this is the man that made not God his strength; but trusted in the abundance of his riches, and strengthened himself in his wickedness.",What happens to the person who relies on wealth and mischief?
780,53,1,"The fool hath said in his heart, There is no God. Corrupt are they, and have done abominable iniquity: there is none that doeth good.","What does the fool say about the existence of God, and how are they described?"
783,53,4,Have the workers of iniquity no knowledge? who eat up my people as they eat bread: they have not called upon God.,"What do the workers of iniquity do, and what basic knowledge are they lacking?"
797,55,5,"Fearfulness and trembling are come upon me, and horror hath overwhelmed me.",What emotions does the speaker experience when feeling overwhelmed?
798,55,6,"And I said, Oh that I had wings like a dove! for then would I fly away, and be at rest.",What does the speaker wish for as an escape from their troubles?
800,55,8,I would hasten my escape from the windy storm and tempest.,What is a natural reaction when faced with a turbulent situation?
801,55,9,"Destroy, O Lord, and divide their tongues: for I have seen violence and strife in the city.",What could be a reason for wanting to divide groups within a city?
802,55,10,Day and night they go about it upon the walls thereof: mischief also and sorrow are in the midst of it.,What happens day and night in a city where strife and violence persist?
803,55,11,Wickedness is in the midst thereof: deceit and guile depart not from her streets.,What is one common element present in cities plagued by wickedness?
804,55,12,For it was not an enemy that reproached me; then I could have borne it: neither was it he that hated me that did magnify himself against me; then I would have hid myself from him:,How does betrayal by a close acquaintance feel different from betrayal by an enemy?
805,55,13,"But it was thou, a man mine equal, my guide, and mine acquaintance.",What is the significance of sharing advice and companionship with a close friend?
806,55,14,"We took sweet counsel together, and walked unto the house of God in company.",What might someone wish for in response to the presence of evil in others?
812,55,20,He hath put forth his hands against such as be at peace with him: he hath broken his covenant.,What makes deceitful words dangerous even when they sound pleasant?
817,56,2,"Mine enemies would daily swallow me up: for they be many that fight against me, O thou most High.",What emotion might you feel if you were overwhelmed by enemies?
818,56,3,"What time I am afraid, I will trust in thee.",What can you do when you feel afraid of what others might do to you?
821,56,6,"They gather themselves together, they hide themselves, they mark my steps, when they wait for my soul.",How does it feel when others twist your words or plot against you?
823,56,8,Thou tellest my wanderings: put thou my tears into thy bottle: are they not in thy book?,What might be a reason to hope for someone’s downfall?
824,56,9,"When I cry unto thee, then shall mine enemies turn back: this I know; for God is for me.",How can your personal struggles be recorded and remembered?
827,56,12,"Thy vows are upon me, O God: I will render praises unto thee.",How does trust in a higher force affect fear of others?
832,57,4,"My soul is among lions: and I lie even among them that are set on fire, even the sons of men, whose teeth are spears and arrows, and their tongue a sharp sword.",What metaphor can be used to describe malicious people who seek to harm others?
834,57,6,"They have prepared a net for my steps; my soul is bowed down: they have digged a pit before me, into the midst whereof they are fallen themselves. Selah.",What could happen to those who plan traps for others?
840,58,1,"Do ye indeed speak righteousness, O congregation? do ye judge uprightly, O ye sons of men?",How do people in authority often fail in their responsibilities?
842,58,3,"The wicked are estranged from the womb: they go astray as soon as they be born, speaking lies.",At what point in life do some people begin to engage in harmful behavior?
843,58,4,Their poison is like the poison of a serpent: they are like the deaf adder that stoppeth her ear;,What are some characteristics of malicious behavior?
846,58,7,"Let them melt away as waters which run continually: when he bendeth his bow to shoot his arrows, let them be as cut in pieces.",How might one hope for a symbolic destruction of harmful forces?
851,59,1,"Deliver me from mine enemies, O my God: defend me from them that rise up against me.",What would you ask for if you felt pursued by powerful enemies?
854,59,4,"They run and prepare themselves without my fault: awake to help me, and behold.",How does it feel to be unjustly accused and pursued by others?
856,59,6,"They return at evening: they make a noise like a dog, and go round about the city.","How do some enemies express their hostility, and how do they perceive accountability?"
857,59,7,"Behold, they belch out with their mouth: swords are in their lips: for who, say they, doth hear?",How does someone’s strength motivate you to remain vigilant?
861,59,11,"Slay them not, lest my people forget: scatter them by thy power; and bring them down, O Lord our shield.",What emotions might you feel when asking for an enemy’s downfall?
865,59,15,"Let them wander up and down for meat, and grudge if they be not satisfied.",What is the reaction when enemies continue their hostile actions at night?
869,60,2,Thou hast made the earth to tremble; thou hast broken it: heal the breaches thereof; for it shaketh.,What natural disaster metaphor could be used to describe a state of instability?
870,60,3,Thou hast shewed thy people hard things: thou hast made us to drink the wine of astonishment.,How does hardship affect a group of people?
878,60,11,Give us help from trouble: for vain is the help of man.,What assistance might you ask for when facing a challenge too great to handle alone?
881,61,2,"From the end of the earth will I cry unto thee, when my heart is overwhelmed: lead me to the rock that is higher than I.",What metaphor might someone use to describe seeking protection in difficult times?
890,62,3,"How long will ye imagine mischief against a man? ye shall be slain all of you: as a bowing wall shall ye be, and as a tottering fence.",What could be an emotional response to feeling attacked or threatened by others?
891,62,4,"They only consult to cast him down from his excellency: they delight in lies: they bless with their mouth, but they curse inwardly. Selah.","Why might people scheme against others, and how do they conceal their true intentions?"
897,62,10,"Trust not in oppression, and become not vain in robbery: if riches increase, set not your heart upon them.",How does comparing people of different social standings reveal their true worth?
898,62,11,God hath spoken once; twice have I heard this; that power belongeth unto God.,"Why is it advised not to rely on wealth, even if it increases?"
900,63,1,"O God, thou art my God; early will I seek thee: my soul thirsteth for thee, my flesh longeth for thee in a dry and thirsty land, where no water is;","How does one express a deep longing or desire, especially in difficult circumstances?"
